Type, Txhash,BlockTime Unix,Date, Fee (SOL),  TokenAccount, ChangeType, SPL BalanceChange, Pre Balancer,PostBalancer,TokenAddress,TokenName(off-chain), Symbol(off-chain),SolTransfer Source,SolTransfer Destination,Amount (SOL)
TokenChange,4cimYq4ABVnz8DVGKr7BnUsZMLWe37dXhJuxTbG5hyzkoi5gTEusTvZCqmWkJoZ6qjSZ7djZ1sG1jnPWXj2YCpCe,1719527855,2024-06-27T22:37:35,0.000005,BnVq6P8vpPx3BRDrZ3Xe5CeDk7x36NDMqL7b7DtRmCs2,inc,665941.5719,0,665941.5719,Cx1P22Km6AGXCzXXZBGmUJ1L1bUZBJ8niE71zvJdpump,Bhad Bhabie,,,,
TokenChange,2iH7PNQ7XKGtomrN7QwTMzqFeL5sq7Akt8ofUVde9hgVNXTpeuL5cPnG5s3FNDAsyExWutpQGvEQqfJff41dUizg,1719527222,2024-06-27T22:27:02,0.000708986,BnVq6P8vpPx3BRDrZ3Xe5CeDk7x36NDMqL7b7DtRmCs2,dec,-679512.7009,679512.7009,0,Cx1P22Km6AGXCzXXZBGmUJ1L1bUZBJ8niE71zvJdpump,Bhad Bhabie,,,,
TokenChange,4Uo5aoBroPUXdSK9JALWQWhkqPwXpFEikLT9iEwgfLj4MYNjb6NLcHYTv44Ld91nDtoqvT6CtpEgr8WzNCkZDtJ4,1719523234,2024-06-27T21:20:34,0.000020978,BnVq6P8vpPx3BRDrZ3Xe5CeDk7x36NDMqL7b7DtRmCs2,inc,679512.7009,,679512.7009,Cx1P22Km6AGXCzXXZBGmUJ1L1bUZBJ8niE71zvJdpump,Bhad Bhabie,,,,
TokenChange,NGSibukEGnLsvR6jTA7vPrsXtDqnrMpTQ5uXbgzMLtmd8eFMihKinJDW15qPAdUtYYLFnGnKufijXfiLCfpT2bn,1719523155,2024-06-27T21:19:15,0.000005,ADhK4eZgHGkpPiLDqpk4rLigsfgo7irtxN5AS4KXUmVo,dec,-282908.282,282908.282,0,DfdVEHzRzTVSty4TiAXGgtvV7VWiC1nJn3cB6ntfpump,Rubi Rose ,,,,
TokenChange,2V1vDotEA4fsw6D6zj4Yuh7knm4Cp28d8zhnzMye2ADrpjiddyEs2HA54FzJwNCZhLt3Zfbu897L6yEKqwLVRgfC,1719506880,2024-06-27T16:48:00,0.000324542,ADhK4eZgHGkpPiLDqpk4rLigsfgo7irtxN5AS4KXUmVo,inc,282908.282,,282908.282,DfdVEHzRzTVSty4TiAXGgtvV7VWiC1nJn3cB6ntfpump,Rubi Rose ,,,,
TokenChange,3cHLC2eQ7h6zmV8YdgzAZq3oEzLWdDfVyja8kyH1Q9jz5XYNdkKkYQNM9YhkMViG7EJScTXmwFX8Ktkh58zx26v,1719506811,2024-06-27T16:46:51,0.000005,HdQB7j87rjEvus4qo4afjmCBKdF3omNhnHBoNzGG6pEM,dec,-216096.2208,216096.2208,0,6hCnd4hFGkJYJY1yQ5RfjfNopogE3FZfJxpgmJJApump,Purpp,,,,
TokenChange,3y1ngDKHGLdYoFiBSCTmMR1fVvvH5qYQmVaom427sBL8oDXjZgLMJZv5GcFfZ4afayV4BK5oa88DZftDkpdUJ7PN,1719474218,2024-06-27T07:43:38,0.000020977,HdQB7j87rjEvus4qo4afjmCBKdF3omNhnHBoNzGG6pEM,inc,216096.2208,,216096.2208,6hCnd4hFGkJYJY1yQ5RfjfNopogE3FZfJxpgmJJApump,Purpp,,,,
TokenChange,5A9fiLPUenMjerawbT3zipsn6uJGY7YwMufkWgYnZN7pePdqsLrU4Cb17RwWgJi5k9fajejAv6LtsBiR7F7X6dTk,1719474179,2024-06-27T07:42:59,0.000335008,5jwgDW4gTYaxQN6LZxmk9AwvgFQweZ8FoLH81ZmiLN5K,dec,-850751.4181,850751.4181,0,AujTJJ7aMS8LDo3bFzoyXDwT3jBALUbu4VZhzZdTZLmG,BEER,,,,
TokenChange,3GTq9LPSaFXiK5Mi13Tbb41wymT9tvfbaPoVYarHJxvbkHk8nSYKm32mRf2EE7TQgZF3x2JMSNqJppdz1reVhvn7,1719421124,2024-06-26T16:58:44,0.000005,5jwgDW4gTYaxQN6LZxmk9AwvgFQweZ8FoLH81ZmiLN5K,inc,850751.4181,0,850751.4181,AujTJJ7aMS8LDo3bFzoyXDwT3jBALUbu4VZhzZdTZLmG,BEER,,,,
TokenChange,Rc53cjohQwjUBcotJhGvZRvnPjkLYQMXogrxVFuVXe5HxSxEnj7CvET9ik1sGdsYSMPF5x2YrLqQJBAxotdgUv7,1719420418,2024-06-26T16:46:58,0.000005022,2a9iDSWDJABqnt2oWsjnEJxkeYBzgXCP8eWqyLNSFW1u,dec,-2382494.859,2382494.859,0,49V1xDGTBzFLrvizZu2gg2dGu19SK8fbxdjmMP5Rpump,Bobbi Althoff,,,,
