"Wallet statement"
"Address count with BTC balance:";1
"Starting balance 2024-05-01";0.00;BTC;0.00;USD
"Ending balance 2024-06-01";0.00;BTC;0.00;USD
"Total received";5922.49348419;BTC
"Total sent";0.00;BTC

"Start period";2024-05-01
"End period";2024-06-01
"Transactions involving the addresses:"
"Tx number";"Affected address/xpub";Effect;Ticker;"Amount fiat (USD)";"Asset rate (USD)";Date;"Transaction hash"
1;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;104.27856256;BTC;6971585.01;66855.40;"2024-05-19 12:07:27";448bad9789e9d444da65f878662d68a648dfdff16532308dc454586b3e3296e6
2;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;102.45312804;BTC;6520935.67;63647.99;"2024-05-15 00:42:31";8e64ae4fb4c33782e07d24735d45c20fc1a5db1358c966667d463bac8464a59b
3;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.75851942;BTC;6163005.67;61166.10;"2024-05-12 12:02:26";6165882ae642f32df520e1fb6c0772c15f7a0c406b9de17b86c4d13208cfbcc6
4;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;0.00000546;BTC;0.33;61166.10;"2024-05-12 00:07:46";55571ca5e1f86c11a5ec5837aa1edf4262042b4b18379373585047ce8f8938cf
5;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.64456133;BTC;6247340.05;62073.30;"2024-05-10 23:12:10";a04ba79e6e586ae26474793bc95e25218513355a1f9ca058cba13dba8575e1a4
6;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.21879308;BTC;6220911.21;62073.30;"2024-05-10 17:47:35";c059072889525c22ad2329fe595f0b8051efda9cec15e8477bf82bfa137c2973
7;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.48107527;BTC;6237191.93;62073.30;"2024-05-10 10:08:18";61e3069ae961adc8e95cecd489ebe4af1ab67f024e87bcacd226ee29c78947b9
8;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;101.22750731;BTC;6255683.82;61798.26;"2024-05-09 23:24:38";fb8718785354a7db284afd1cf60db0437f04d201eab18a92179c6c8e7c799e53
9;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.82688929;BTC;6279591.43;62280.92;"2024-05-08 06:26:34";74dfc4cd4e62d4b1f222a383eb9f4046ede26b3d329c89abe71814779a49da6c
10;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;101.04933779;BTC;6293445.72;62280.92;"2024-05-08 01:13:20";3bbd2312f6b6a9ba165e71a9dd97ee5e44c185360ccb634cbee1115ddabeba72
11;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.92409838;BTC;6407605.41;63489.35;"2024-05-07 23:44:26";9db2603697815835238dc92b87064e98ee5927908d6d7dc6b6eaf73b39d5e449
12;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;0.0001;BTC;6.35;63489.35;"2024-05-07 19:10:47";df7d541df1814efba175c4d9b6fa81071a1427885ca6def2067f1f0df0e48f9d
13;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.3480808;BTC;6371034.42;63489.35;"2024-05-07 04:49:10";6321466a1adcf7043ead88e69951b138c434fd8a55295fa0337e4bcc90fa1295
14;1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP;100.38591937;BTC;6373436.77;63489.35;"2024-05-07 04:42:27";7a23de048474c5da855db7283d5ff12cd08ade33df9a2e437842c2b1fa04dfe9
